Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Tue, Sep 4",Medium Impact Expected,,,,,,
"Tue, Sep 4",,USD,Low Impact Expected,Construction Spending m/m,-0.4%,0.0%,0.1%
"Tue, Sep 4",,USD,Low Impact Expected,ISM Manufacturing Prices,63.0,63.1,65.0
"Tue, Sep 4",All Day,USD,Low Impact Expected,Total Vehicle Sales,16.3M,15.8M,15.3M
"Tue, Sep 4",7:01pm,GBP,Low Impact Expected,Nationwide Consumer Confidence,94,94,96
"Tue, Sep 4",7:30pm,AUD,High Impact Expected,Cash Rate,6.50%,6.50%,6.50%
"Tue, Sep 4",7:30pm,AUD,Low Impact Expected,AIG Services Index,51.6,56.0,
"Wed, Sep 5",3:00am,GBP,High Impact Expected,Halifax HPI m/m,0.4%,0.6%,0.8%
"Wed, Sep 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,53.5,56.3,
"Wed, Sep 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,56.2,58.0,58.5
"Wed, Sep 5",4:00am,EUR,Low Impact Expected,Final Services PMI,58.0,57.9,57.9
"Wed, Sep 5",4:30am,GBP,Medium Impact Expected,Final Services PMI,57.6,56.5,57.0
"Wed, Sep 5",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.1%,0.4%,0.6%
"Wed, Sep 5",5:30am,GBP,Low Impact Expected,BRC Shop Price Index y/y,0.4%,0.6%,
"Wed, Sep 5",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,15.4%,-25.8%,
"Wed, Sep 5",8:15am,USD,Medium Impact Expected,ADP Non-Farm Employment Change,38K,82K,41K
"Wed, Sep 5",9:00am,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Sep 5",9:00am,CAD,High Impact Expected,Overnight Rate,4.50%,4.50%,4.50%
"Wed, Sep 5",10:00am,USD,High Impact Expected,Pending Home Sales m/m,-12.2%,-2.0%,5.0%
"Wed, Sep 5",2:00pm,USD,Medium Impact Expected,Beige Book,,,
"Wed, Sep 5",9:30pm,AUD,High Impact Expected,Employment Change,31.9K,18.0K,19.0K
"Wed, Sep 5",9:30pm,AUD,Medium Impact Expected,Unemployment Rate,4.3%,4.3%,4.3%
"Wed, Sep 5",11:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.4%,4.7%,
"Thu, Sep 6",1:45am,CHF,Low Impact Expected,Unemployment Rate,2.7%,2.7%,2.7%
"Thu, Sep 6",2:00am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,12.3%,18.8%,
"Thu, Sep 6",3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,47B,46B,
"Thu, Sep 6",4:30am,GBP,High Impact Expected,Manufacturing Production m/m,-0.3%,0.2%,0.1%
"Thu, Sep 6",4:30am,GBP,Low Impact Expected,Industrial Production m/m,-0.1%,0.2%,0.0%
"Thu, Sep 6",5:06am,EUR,Low Impact Expected,French 10-y Bond Auction,4.35|2.3,4.67|3.6,
"Thu, Sep 6",6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,-7.1%,-2.2%,5.1%
"Thu, Sep 6",7:00am,GBP,High Impact Expected,MPC Rate Statement,,,
"Thu, Sep 6",7:00am,GBP,High Impact Expected,Official Bank Rate,5.75%,5.75%,5.75%
"Thu, Sep 6",7:45am,EUR,Medium Impact Expected,Main Refinancing Rate,4.00%,4.00%,4.00%
"Thu, Sep 6",8:30am,CAD,Medium Impact Expected,Building Permits m/m,-11.3%,-3.2%,0.1%
"Thu, Sep 6",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Sep 6",8:30am,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,2.6%,2.4%,1.8%
"Thu, Sep 6",8:30am,USD,Medium Impact Expected,Unemployment Claims,318K,325K,337K
"Thu, Sep 6",8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,1.4%,1.6%,2.1%
"Thu, Sep 6",10:00am,CAD,High Impact Expected,Ivey PMI,58.5,56.9,54.6
"Thu, Sep 6",10:00am,USD,High Impact Expected,ISM Services PMI,55.8,54.5,55.8
"Thu, Sep 6",10:00am,USD,Medium Impact Expected,Mortgage Delinquencies,5.12%,4.84%,
"Thu, Sep 6",10:30am,USD,Low Impact Expected,Crude Oil Inventories,-4.0M,-2.1M,-3.5M
"Thu, Sep 6",10:30am,USD,Low Impact Expected,Natural Gas Storage,36B,44B,43B
"Thu, Sep 6",11:30am,USD,Medium Impact Expected,FOMC Member Kroszner Speaks,,,
"Thu, Sep 6",7:01pm,GBP,Low Impact Expected,NIESR GDP Estimate,0.7%,0.8%,
"Thu, Sep 6",7:30pm,AUD,Low Impact Expected,AIG Construction Index,48.4,48.8,
"Fri, Sep 7",1:00am,JPY,Low Impact Expected,Leading Indicators,70.0%,70.0%,72.7%
"Fri, Sep 7",2:00am,EUR,Low Impact Expected,German Trade Balance,16.5B,15.5B,15.0B
"Fri, Sep 7",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-47.4B,-29.7B,
"Fri, Sep 7",2:50am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Fri, Sep 7",6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,0.1%,0.8%,-0.2%
"Fri, Sep 7",7:00am,CAD,High Impact Expected,Employment Change,23.3K,15.3K,11.3K
"Fri, Sep 7",7:00am,CAD,High Impact Expected,Unemployment Rate,6.0%,6.1%,6.0%
"Fri, Sep 7",8:30am,USD,High Impact Expected,Non-Farm Employment Change,-4K,110K,68K
"Fri, Sep 7",8:30am,USD,High Impact Expected,Unemployment Rate,4.6%,4.6%,4.6%
"Fri, Sep 7",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.3%,0.3%,0.3%
"Fri, Sep 7",10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.2%,0.5%,0.3%
"Sat, Sep 8",9:00am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Sun, Sep 9",6:45pm,NZD,High Impact Expected,PPI Input q/q,1.3%,1.1%,-1.5%
"Sun, Sep 9",6:45pm,NZD,Low Impact Expected,PPI Output q/q,1.2%,1.1%,-0.2%
"Sun, Sep 9",7:50pm,JPY,Medium Impact Expected,Final GDP q/q,-0.3%,-0.2%,0.1%
"Sun, Sep 9",7:50pm,JPY,Low Impact Expected,Bank Lending y/y,0.5%,0.3%,
"Sun, Sep 9",7:50pm,JPY,Low Impact Expected,Final GDP Price Index y/y,-0.3%,-0.3%,-0.3%
"Sun, Sep 9",7:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,1.8%,2.0%,2.0%
"Sun, Sep 9",9:30pm,AUD,Medium Impact Expected,Home Loans m/m,-4.1%,-2.0%,0.8%
"Sun, Sep 9",10:00pm,CNY,Medium Impact Expected,PPI y/y,2.6%,2.5%,2.4%
"Mon, Sep 10",1:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,44.1,44.3,44.7
"Mon, Sep 10",2:45am,EUR,Medium Impact Expected,French Industrial Production m/m,1.3%,0.4%,-0.6%
"Mon, Sep 10",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,18.1,18.6,26.3
"Mon, Sep 10",4:30am,GBP,High Impact Expected,PPI Input m/m,-0.5%,-0.3%,-0.8%
"Mon, Sep 10",4:30am,GBP,Low Impact Expected,ONS HPI y/y,12.4%,11.5%,12.1%
"Mon, Sep 10",4:30am,GBP,Low Impact Expected,PPI Output m/m,0.1%,0.2%,0.3%
"Mon, Sep 10",7:45am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Mon, Sep 10",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,7.5B,8.8B,11.9B
"Mon, Sep 10",6:45pm,NZD,Low Impact Expected,Overseas Trade Index q/q,0.6%,3.5%,1.6%
"Mon, Sep 10",7:30pm,USD,Medium Impact Expected,FOMC Member Mishkin Speaks,,,
"Mon, Sep 10",7:50pm,JPY,Medium Impact Expected,Core Machinery Orders m/m,17.0%,5.2%,-10.4%
