Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Apr 2",Medium Impact Expected,,,,,,
"Wed, Apr 2",4:30pm,GBP,Medium Impact Expected,MPC Member Tucker Speaks,,,
"Wed, Apr 2",6:30pm,AUD,Low Impact Expected,AIG Services Index,53.8,53.2,
"Wed, Apr 2",9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,60.3,46.9,
"Wed, Apr 2",10:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,2.0%,1.1%,
"Thu, Apr 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,40.9,46.1,
"Thu, Apr 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,48.8,47.3,47.2
"Thu, Apr 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,57.3,57.3,57.3
"Thu, Apr 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,51.8,52.5,52.5
"Thu, Apr 3",4:00am,EUR,Low Impact Expected,Final Services PMI,51.6,51.7,51.7
"Thu, Apr 3",4:30am,GBP,High Impact Expected,Final Services PMI,52.1,53.3,54.0
"Thu, Apr 3",4:30am,GBP,Medium Impact Expected,BOE Credit Conditions Survey,,,
"Thu, Apr 3",4:55am,EUR,Low Impact Expected,French 10-y Bond Auction,4.24|2.0,4.07|2.5,
"Thu, Apr 3",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,-0.5%,0.2%,0.5%
"Thu, Apr 3",6:30am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Thu, Apr 3",8:30am,USD,Medium Impact Expected,Unemployment Claims,407K,366K,371K
"Thu, Apr 3",10:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
"Thu, Apr 3",10:00am,USD,High Impact Expected,FOMC Member Geithner Speaks,,,
"Thu, Apr 3",10:00am,USD,High Impact Expected,ISM Services PMI,49.6,48.5,49.3
"Thu, Apr 3",10:30am,USD,Low Impact Expected,Natural Gas Storage,-29B,-34B,-36B
"Thu, Apr 3",6:00pm,AUD,High Impact Expected,RBA Gov Stevens Speaks,,,
"Thu, Apr 3",7:30pm,USD,Low Impact Expected,FOMC Member Mishkin Speaks,,,
"Thu, Apr 3",All Day,CNY,Non-Economic,Bank Holiday,,,
"Thu, Apr 3",8:30pm,AUD,High Impact Expected,Retail Sales m/m,-0.1%,0.3%,-0.1%
"Fri, Apr 4",1:45am,CHF,High Impact Expected,CPI m/m,0.3%,0.2%,0.1%
"Fri, Apr 4",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-22.7B,-6.6B,
"Fri, Apr 4",3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,46B,49B,
"Fri, Apr 4",6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,-0.5%,0.8%,-0.7%
"Fri, Apr 4",7:00am,CAD,High Impact Expected,Employment Change,14.6K,15.0K,43.3K
"Fri, Apr 4",7:00am,CAD,High Impact Expected,Unemployment Rate,6.0%,5.8%,5.8%
"Fri, Apr 4",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,9.4%,-14.2%,
"Fri, Apr 4",8:30am,USD,High Impact Expected,Non-Farm Employment Change,-80K,-50K,-76K
"Fri, Apr 4",8:30am,USD,High Impact Expected,Unemployment Rate,5.1%,5.0%,4.8%
"Fri, Apr 4",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.3%,0.3%,0.3%
"Fri, Apr 4",8:45am,USD,Low Impact Expected,FOMC Member Pianalto Speaks,,,
"Fri, Apr 4",10:00am,CAD,High Impact Expected,Ivey PMI,59.0,62.5,62.0
"Fri, Apr 4",2:45pm,USD,Medium Impact Expected,FOMC Member Kroszner Speaks,,,
"Sat, Apr 5",10:00am,NZD,Non-Economic,Daylight Saving Time Shift,,,
"Sat, Apr 5",12:00pm,AUD,Non-Economic,Daylight Saving Time Shift,,,
"Sun, Apr 6",9:30pm,AUD,High Impact Expected,Building Approvals m/m,0.1%,0.0%,1.4%
"Sun, Apr 6",9:30pm,AUD,High Impact Expected,Goods Trade Balance,-3.29B,-2.52B,-2.54B
"Sun, Apr 6",9:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,-0.7%,-2.1%,
"Mon, Apr 7",1:00am,JPY,Low Impact Expected,Leading Indicators,50.0%,50.0%,36.4%
"Mon, Apr 7",1:45am,CHF,Low Impact Expected,Unemployment Rate,2.5%,2.5%,2.5%
"Mon, Apr 7",2:45am,EUR,Low Impact Expected,French Trade Balance,-2.8B,-3.4B,-3.2B
