Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Oct 2",Medium Impact Expected,,,,,,
"Thu, Oct 2",5:20am,EUR,Low Impact Expected,French 10-y Bond Auction,4.43|1.7,4.36|1.9,
"Thu, Oct 2",7:45am,EUR,High Impact Expected,Main Refinancing Rate,4.25%,4.25%,4.25%
"Thu, Oct 2",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Oct 2",8:30am,USD,High Impact Expected,Unemployment Claims,497K,475K,496K
"Thu, Oct 2",10:00am,USD,Medium Impact Expected,Factory Orders m/m,-4.0%,-2.6%,0.7%
"Thu, Oct 2",10:35am,USD,Low Impact Expected,Natural Gas Storage,87B,75B,51B
"Thu, Oct 2",7:32pm,AUD,Low Impact Expected,AIG Services Index,44.9,39.3,
"Thu, Oct 2",All Day,CNY,Non-Economic,Bank Holiday,,,
"Thu, Oct 2",8:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.4%,0.1%,
"Thu, Oct 2",9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,58.1,53.8,
"Fri, Oct 3",1:45am,CHF,Medium Impact Expected,CPI m/m,0.1%,-0.1%,-0.3%
"Fri, Oct 3",All Day,EUR,Non-Economic,German Bank Holiday,,,
"Fri, Oct 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,36.1,39.0,
"Fri, Oct 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,49.4,48.2,48.5
"Fri, Oct 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,50.1,50.4,50.4
"Fri, Oct 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,50.2,49.3,49.3
"Fri, Oct 3",4:00am,EUR,Low Impact Expected,Final Services PMI,48.4,48.2,48.2
"Fri, Oct 3",4:30am,GBP,High Impact Expected,Final Services PMI,46.0,48.0,49.2
"Fri, Oct 3",4:34am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-2.8B,2.5B,5.2B
"Fri, Oct 3",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.3%,0.1%,0.1%
"Fri, Oct 3",8:30am,USD,High Impact Expected,Non-Farm Employment Change,-159K,-100K,-73K
"Fri, Oct 3",8:30am,USD,High Impact Expected,Unemployment Rate,6.1%,6.1%,6.1%
"Fri, Oct 3",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.2%,0.3%,0.4%
"Fri, Oct 3",10:00am,USD,High Impact Expected,ISM Services PMI,50.2,50.0,50.6
"Fri, Oct 3",1:23pm,USD,High Impact Expected,Economic Stabilization Bill Vote,Pass,Pass,
"Fri, Oct 3",1:55pm,USD,Low Impact Expected,President Bush Speaks,,,
"Sat, Oct 4",All Day,EUR,Medium Impact Expected,EU Economic Summit,,,
"Sat, Oct 4",12:00pm,AUD,Non-Economic,Daylight Saving Time Shift,,,
"Sun, Oct 5",All Day,AUD,Non-Economic,Bank Holiday,,,
"Mon, Oct 6",3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,49B,48B,
"Mon, Oct 6",All Day,EUR,Low Impact Expected,Eurogroup Meetings,,,
"Mon, Oct 6",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-27.8,-27.1,-20.2
"Mon, Oct 6",8:30am,CAD,High Impact Expected,Building Permits m/m,-13.5%,-1.4%,2.6%
"Mon, Oct 6",10:00am,CAD,High Impact Expected,Ivey PMI,61.0,51.0,51.5
"Mon, Oct 6",1:30pm,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
"Mon, Oct 6",1:45pm,USD,Low Impact Expected,President Bush Speaks,,,
"Mon, Oct 6",5:00pm,NZD,High Impact Expected,NZIER Business Confidence,-19,-64,
"Mon, Oct 6",6:30pm,AUD,Low Impact Expected,AIG Construction Index,31.8,43.1,
"Mon, Oct 6",11:30pm,AUD,High Impact Expected,Cash Rate,6.00%,6.50%,7.00%
"Mon, Oct 6",11:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
"Mon, Oct 6",11:58pm,JPY,High Impact Expected,Overnight Call Rate,0.50%,0.50%,0.50%
"Mon, Oct 6",11:58pm,JPY,Medium Impact Expected,Monetary Policy Statement,,,
"Tue, Oct 7",1:00am,JPY,Low Impact Expected,Leading Indicators,89.3%,89.3%,91.4%
"Tue, Oct 7",3:19am,JPY,High Impact Expected,BOJ Press Conference,,,
"Tue, Oct 7",All Day,EUR,Low Impact Expected,ECOFIN Meetings,,,
"Tue, Oct 7",4:30am,GBP,High Impact Expected,Manufacturing Production m/m,-0.4%,-0.2%,-0.2%
"Tue, Oct 7",4:30am,GBP,Low Impact Expected,Industrial Production m/m,-0.6%,-0.2%,-0.4%
"Tue, Oct 7",6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,3.6%,0.2%,-1.3%
"Tue, Oct 7",9:30am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Tue, Oct 7",10:00am,USD,High Impact Expected,Fed Announcement,,,
"Tue, Oct 7",10:00am,USD,Low Impact Expected,JOLTS Job Openings,3.28M,3.49M,
"Tue, Oct 7",11:00am,USD,Medium Impact Expected,FOMC Member Stern Speaks,,,
"Tue, Oct 7",1:15pm,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
"Tue, Oct 7",2:00pm,USD,High Impact Expected,FOMC Meeting Minutes,,,
"Tue, Oct 7",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,-7.9B,5.6B,5.2B
"Tue, Oct 7",7:01pm,GBP,Medium Impact Expected,Nationwide Consumer Confidence,50,48,53
"Tue, Oct 7",7:01pm,GBP,Medium Impact Expected,NIESR GDP Estimate,-0.2%,-0.2%,
"Tue, Oct 7",7:30pm,AUD,Medium Impact Expected,Westpac Consumer Sentiment,-11.0%,7.0%,
"Tue, Oct 7",8:30pm,AUD,High Impact Expected,Home Loans m/m,-2.2%,-1.0%,-0.9%
"Wed, Oct 8",12:00am,JPY,Medium Impact Expected,BOJ Gov Shirakawa Speaks,,,
"Wed, Oct 8",1:00am,JPY,Medium Impact Expected,BOJ Monthly Report,,,
"Wed, Oct 8",1:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,28.0,27.8,28.3
"Wed, Oct 8",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-67.6B,-51.4B,
"Wed, Oct 8",2:45am,EUR,Low Impact Expected,French Trade Balance,-5.4B,-4.7B,-4.9B
"Wed, Oct 8",5:00am,EUR,Low Impact Expected,Final GDP q/q,-0.2%,-0.2%,-0.2%
"Wed, Oct 8",5:30am,GBP,Low Impact Expected,BRC Shop Price Index y/y,3.6%,3.8%,
"Wed, Oct 8",6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,3.4%,-0.2%,-1.6%
"Wed, Oct 8",7:00am,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Oct 8",7:00am,CAD,High Impact Expected,Overnight Rate,2.50%,3.00%,
"Wed, Oct 8",7:00am,CHF,High Impact Expected,Libor Rate,2.50%,2.75%,
"Wed, Oct 8",7:00am,EUR,High Impact Expected,Main Refinancing Rate,3.75%,4.25%,
"Wed, Oct 8",7:00am,GBP,High Impact Expected,MPC Rate Statement,,,
"Wed, Oct 8",7:00am,GBP,High Impact Expected,Official Bank Rate,4.50%,5.00%,
"Wed, Oct 8",7:00am,USD,High Impact Expected,Federal Funds Rate,1.50%,2.00%,
"Wed, Oct 8",7:00am,USD,High Impact Expected,FOMC Statement,,,
"Wed, Oct 8",7:45am,USD,Medium Impact Expected,FOMC Member Plosser Speaks,,,
"Wed, Oct 8",8:15am,CAD,High Impact Expected,Housing Starts,218K,207K,217K
"Wed, Oct 8",10:00am,USD,High Impact Expected,Pending Home Sales m/m,7.4%,-1.5%,-2.7%
"Wed, Oct 8",10:30am,GBP,Low Impact Expected,CB Leading Index m/m,-0.6%,-0.7%,
"Wed, Oct 8",10:35am,USD,Medium Impact Expected,Crude Oil Inventories,8.1M,2.0M,4.3M
"Wed, Oct 8",3:00pm,USD,Medium Impact Expected,Treasury Sec Paulson Speaks,,,
"Wed, Oct 8",7:50pm,JPY,Medium Impact Expected,Core Machinery Orders m/m,-14.5%,-3.0%,-3.9%
"Wed, Oct 8",8:00pm,AUD,Low Impact Expected,MI Inflation Expectations,4.4%,4.4%,
"Wed, Oct 8",8:30pm,AUD,High Impact Expected,Employment Change,2.2K,0.0K,10.2K
"Wed, Oct 8",8:30pm,AUD,High Impact Expected,Unemployment Rate,4.3%,4.3%,4.1%
"Thu, Oct 9",2:00am,EUR,Low Impact Expected,German Trade Balance,13.1B,12.0B,11.6B
"Thu, Oct 9",2:00am,EUR,Low Impact Expected,German WPI m/m,-0.6%,-0.5%,-1.8%
"Thu, Oct 9",2:00am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,-20.7%,13.9%,
"Thu, Oct 9",4:00am,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
"Thu, Oct 9",4:00am,GBP,High Impact Expected,Halifax HPI m/m,-1.3%,-1.8%,-1.8%
"Thu, Oct 9",4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-8.2B,-7.6B,-8.2B
"Thu, Oct 9",8:30am,USD,High Impact Expected,Unemployment Claims,478K,475K,498K
"Thu, Oct 9",10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.8%,0.5%,1.5%
"Thu, Oct 9",10:35am,USD,Low Impact Expected,Natural Gas Storage,88B,86B,87B
"Thu, Oct 9",1:00pm,USD,Medium Impact Expected,10-y Bond Auction,3.79|2.3,3.63|2.5,
"Thu, Oct 9",1:30pm,USD,Medium Impact Expected,FOMC Member Stern Speaks,,,
"Thu, Oct 9",7:50pm,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
"Thu, Oct 9",7:50pm,JPY,Low Impact Expected,Bank Lending y/y,1.6%,1.8%,
"Thu, Oct 9",7:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,2.2%,2.4%,2.4%
"Fri, Oct 10",1:00am,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,39.9%,41.6%,
"Fri, Oct 10",1:45am,CHF,Low Impact Expected,Unemployment Rate,2.6%,2.5%,2.5%
"Fri, Oct 10",2:45am,EUR,Medium Impact Expected,French Industrial Production m/m,-0.4%,-0.7%,1.4%
"Fri, Oct 10",4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,1.4%,0.4%,-0.5%
"Fri, Oct 10",7:00am,CAD,High Impact Expected,Employment Change,106.9K,11.0K,15.2K
"Fri, Oct 10",7:00am,CAD,High Impact Expected,Unemployment Rate,6.1%,6.2%,6.1%
"Fri, Oct 10",8:30am,CAD,High Impact Expected,Trade Balance,5.8B,4.6B,4.2B
"Fri, Oct 10",8:30am,CAD,Low Impact Expected,NHPI m/m,0.0%,0.0%,0.1%
"Fri, Oct 10",8:30am,USD,High Impact Expected,Trade Balance,-59.1B,-59.5B,-61.3B
"Fri, Oct 10",8:30am,USD,Medium Impact Expected,Import Prices m/m,-3.0%,-2.6%,-2.6%
"Fri, Oct 10",10:00am,USD,Low Impact Expected,President Bush Speaks,,,
"Fri, Oct 10",All Day,All,High Impact Expected,G7 Meetings,,,
"Fri, Oct 10",10:30am,CAD,High Impact Expected,BOC Business Outlook Survey,,,
"Fri, Oct 10",6:45pm,USD,Medium Impact Expected,Treasury Sec Paulson Speaks,,,
"Fri, Oct 10",7:00pm,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Sun, Oct 12",8:45am,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
"Sun, Oct 12",5:45pm,NZD,High Impact Expected,Core Retail Sales m/m,0.8%,1.0%,0.0%
"Sun, Oct 12",5:45pm,NZD,High Impact Expected,Retail Sales m/m,0.4%,0.4%,-0.7%
"Sun, Oct 12",All Day,JPY,Non-Economic,Bank Holiday,,,
