Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Dec 2",Low Impact Expected,,,,,,
"Wed, Dec 2",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-72.3%,-50.7%,
"Wed, Dec 2",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,-169K,-149K,-195K
"Wed, Dec 2",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,2.1M,-0.4M,1.0M
"Wed, Dec 2",1:15pm,USD,Medium Impact Expected,FOMC Member Lacker Speaks,,,
"Wed, Dec 2",2:00pm,USD,Medium Impact Expected,Beige Book,,,
"Wed, Dec 2",5:30pm,AUD,Low Impact Expected,AIG Services Index,52.5,54.8,
"Wed, Dec 2",6:50pm,JPY,Medium Impact Expected,Capital Spending q/y,-24.8%,-15.8%,-21.7%
"Wed, Dec 2",7:30pm,AUD,High Impact Expected,Retail Sales m/m,0.3%,0.4%,-0.2%
"Wed, Dec 2",8:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,52.3,62.1,
"Wed, Dec 2",9:03pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,10.5%,4.7%,
"Thu, Dec 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,46.1,47.7,
"Thu, Dec 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,49.8,52.2,52.2
"Thu, Dec 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,60.9,60.4,60.4
"Thu, Dec 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,51.4,51.5,51.5
"Thu, Dec 3",4:00am,EUR,Low Impact Expected,Final Services PMI,53.0,53.3,53.2
"Thu, Dec 3",4:30am,GBP,High Impact Expected,Final Services PMI,56.6,57.1,56.9
"Thu, Dec 3",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.0%,0.2%,-0.5%
"Thu, Dec 3",5:00am,EUR,Low Impact Expected,Revised GDP q/q,0.4%,0.4%,0.4%
"Thu, Dec 3",7:45am,EUR,High Impact Expected,Main Refinancing Rate,1.00%,1.00%,1.00%
"Thu, Dec 3",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Dec 3",8:30am,USD,High Impact Expected,Unemployment Claims,457K,479K,462K
"Thu, Dec 3",8:30am,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,8.1%,8.5%,9.5%
"Thu, Dec 3",8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,-2.5%,-4.3%,-5.2%
"Thu, Dec 3",10:00am,EUR,Medium Impact Expected,German Buba President Weber Speaks,,,
"Thu, Dec 3",10:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
"Thu, Dec 3",10:00am,USD,High Impact Expected,ISM Services PMI,48.7,51.6,50.6
"Thu, Dec 3",10:30am,USD,Low Impact Expected,Natural Gas Storage,2B,1B,2B
"Fri, Dec 4",3:00am,CHF,High Impact Expected,Foreign Currency Reserves,95B,90B,
"Fri, Dec 4",3:15am,CHF,Medium Impact Expected,CPI m/m,0.2%,0.1%,0.6%
"Fri, Dec 4",7:00am,CAD,High Impact Expected,Employment Change,79.1K,15.3K,-43.2K
"Fri, Dec 4",7:00am,CAD,High Impact Expected,Unemployment Rate,8.5%,8.6%,8.6%
"Fri, Dec 4",8:30am,USD,High Impact Expected,Non-Farm Employment Change,-11K,-119K,-111K
"Fri, Dec 4",8:30am,USD,High Impact Expected,Unemployment Rate,10.0%,10.2%,10.2%
"Fri, Dec 4",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.1%,0.2%,0.3%
"Fri, Dec 4",10:00am,CAD,High Impact Expected,Ivey PMI,55.9,60.4,61.2
"Fri, Dec 4",10:00am,USD,Medium Impact Expected,Factory Orders m/m,0.6%,0.1%,1.6%
"Sun, Dec 6",5:30pm,AUD,Low Impact Expected,AIG Construction Index,47.6,50.9,
"Sun, Dec 6",7:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,5.2%,-1.7%,
"Mon, Dec 7",3:00am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
"Mon, Dec 7",3:15am,CHF,High Impact Expected,Retail Sales y/y,3.1%,1.2%,-2.1%
