Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Jul 2",Medium Impact Expected,,,,,,
"Fri, Jul 2",,USD,Medium Impact Expected,Average Hourly Earnings m/m,-0.1%,0.1%,0.2%
"Fri, Jul 2",10:00am,USD,Medium Impact Expected,Factory Orders m/m,-1.4%,-0.5%,1.0%
"Fri, Jul 2",9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,57.4,62.7,
"Sun, Jul 4",7:30pm,AUD,Medium Impact Expected,AIG Services Index,48.8,47.5,
"Sun, Jul 4",8:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.3%,0.5%,
"Sun, Jul 4",9:30pm,AUD,High Impact Expected,ANZ Job Advertisements m/m,2.7%,2.7%,
"Mon, Jul 5",3:15am,CHF,High Impact Expected,Retail Sales y/y,3.8%,2.7%,1.3%
"Mon, Jul 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,51.8,52.3,
"Mon, Jul 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,51.5,53.6,53.7
"Mon, Jul 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,60.8,61.6,61.6
"Mon, Jul 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,54.8,54.6,54.6
"Mon, Jul 5",4:00am,EUR,Low Impact Expected,Final Services PMI,55.5,55.4,55.4
"Mon, Jul 5",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-1.3,-4.5,-4.1
"Mon, Jul 5",4:30am,GBP,High Impact Expected,Final Services PMI,54.4,55.1,55.4
"Mon, Jul 5",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,0.2%,0.1%,-0.9%
"Mon, Jul 5",All Day,USD,Non-Economic,Bank Holiday,,,
"Mon, Jul 5",6:00pm,NZD,High Impact Expected,NZIER Business Confidence,18,22,
"Mon, Jul 5",9:30pm,AUD,High Impact Expected,Goods Trade Balance,1.65B,0.53B,1.12B
"Mon, Jul 5",11:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.12|2.8,1.28|3.9,
"Tue, Jul 6",12:30am,AUD,High Impact Expected,Cash Rate,4.50%,4.50%,4.50%
"Tue, Jul 6",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Jul 6",1:00am,JPY,Low Impact Expected,Leading Indicators,98.7%,99.7%,101.7%
