Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Nov 3",Medium Impact Expected,,,,,,
"Wed, Nov 3",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,43K,21K,-2K
"Wed, Nov 3",10:00am,USD,High Impact Expected,ISM Services PMI,54.3,53.5,53.2
"Wed, Nov 3",10:00am,USD,Medium Impact Expected,Factory Orders m/m,2.1%,1.3%,0.0%
"Wed, Nov 3",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,2.0M,1.7M,5.0M
"Wed, Nov 3",All Day,USD,Low Impact Expected,Total Vehicle Sales,12.3M,11.8M,11.8M
"Wed, Nov 3",12:15pm,CHF,Medium Impact Expected,Gov Board Member Jordan Speaks,,,
"Wed, Nov 3",2:15pm,USD,High Impact Expected,Federal Funds Rate,<0.25%,<0.25%,<0.25%
"Wed, Nov 3",2:15pm,USD,High Impact Expected,FOMC Statement,,,
"Wed, Nov 3",5:45pm,NZD,High Impact Expected,Employment Change q/q,1.0%,0.5%,-0.2%
"Wed, Nov 3",5:45pm,NZD,High Impact Expected,Unemployment Rate,6.4%,6.7%,6.9%
"Wed, Nov 3",8:30pm,AUD,High Impact Expected,Goods Trade Balance,1.76B,2.13B,2.45B
"Wed, Nov 3",8:30pm,AUD,High Impact Expected,Retail Sales m/m,0.3%,0.5%,0.3%
"Wed, Nov 3",10:30pm,JPY,Medium Impact Expected,BOJ Gov Shirakawa Speaks,,,
"Thu, Nov 4",1:04am,EUR,Medium Impact Expected,French 10-y Bond Auction,2.87|1.9,2.68|1.8,
"Thu, Nov 4",4:00am,CHF,High Impact Expected,Foreign Currency Reserves,212B,215B,
"Thu, Nov 4",4:00am,GBP,High Impact Expected,Halifax HPI m/m,1.8%,0.4%,-3.7%
"Thu, Nov 4",4:15am,CHF,Medium Impact Expected,CPI m/m,0.5%,0.7%,0.0%
"Thu, Nov 4",4:15am,EUR,Low Impact Expected,Spanish Services PMI,46.5,47.9,
"Thu, Nov 4",4:45am,EUR,Low Impact Expected,Italian Services PMI,51.0,51.2,51.3
"Thu, Nov 4",4:50am,EUR,Low Impact Expected,French Final Services PMI,54.8,55.3,55.3
"Thu, Nov 4",4:55am,EUR,Low Impact Expected,German Final Services PMI,56.0,56.6,56.6
"Thu, Nov 4",5:00am,EUR,Low Impact Expected,Final Services PMI,53.3,53.2,53.2
"Thu, Nov 4",6:00am,EUR,Low Impact Expected,PPI m/m,0.3%,0.3%,0.1%
"Thu, Nov 4",8:00am,GBP,High Impact Expected,Asset Purchase Facility,200B,200B,200B
"Thu, Nov 4",8:00am,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
"Thu, Nov 4",8:30am,USD,High Impact Expected,Unemployment Claims,457K,437K,437K
"Thu, Nov 4",8:30am,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,1.9%,0.9%,-1.8%
"Thu, Nov 4",8:30am,USD,Medium Impact Expected,Prelim Unit Labor Costs q/q,-0.1%,0.8%,1.1%
"Thu, Nov 4",8:45am,EUR,High Impact Expected,Main Refinancing Rate,1.00%,1.00%,1.00%
"Thu, Nov 4",9:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Thu, Nov 4",10:00am,CAD,High Impact Expected,Ivey PMI,56.7,65.8,70.3
"Thu, Nov 4",10:30am,USD,Low Impact Expected,Natural Gas Storage,67B,62B,71B
"Thu, Nov 4",1:00pm,CHF,Low Impact Expected,Gov Board Member Danthine Speaks,,,
"Thu, Nov 4",6:26pm,AUD,Low Impact Expected,AIG Construction Index,44.0,40.8,
"Thu, Nov 4",8:30pm,AUD,High Impact Expected,RBA Monetary Policy Statement,,,
"Thu, Nov 4",10:36pm,JPY,High Impact Expected,Monetary Policy Statement,,,
"Thu, Nov 4",10:36pm,JPY,High Impact Expected,Overnight Call Rate,<0.10%,<0.10%,<0.10%
"Fri, Nov 5",3:20am,JPY,High Impact Expected,BOJ Press Conference,,,
"Fri, Nov 5",5:30am,GBP,High Impact Expected,PPI Input m/m,2.1%,0.9%,0.4%
"Fri, Nov 5",5:30am,GBP,Low Impact Expected,PPI Output m/m,0.6%,0.2%,0.0%
"Fri, Nov 5",6:00am,EUR,Medium Impact Expected,Retail Sales m/m,-0.2%,0.3%,-0.2%
"Fri, Nov 5",7:00am,CAD,High Impact Expected,Employment Change,3.0K,14.3K,-6.6K
"Fri, Nov 5",7:00am,CAD,High Impact Expected,Unemployment Rate,7.9%,8.0%,8.0%
"Fri, Nov 5",7:00am,EUR,Medium Impact Expected,German Factory Orders m/m,-4.0%,0.5%,3.5%
"Fri, Nov 5",8:30am,CAD,High Impact Expected,Building Permits m/m,15.3%,3.0%,-9.5%
"Fri, Nov 5",8:30am,USD,High Impact Expected,Non-Farm Employment Change,151K,63K,-41K
"Fri, Nov 5",8:30am,USD,High Impact Expected,Unemployment Rate,9.6%,9.6%,9.6%
"Fri, Nov 5",8:30am,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.2%,0.2%,0.1%
"Fri, Nov 5",9:30am,USD,Medium Impact Expected,FOMC Member Hoenig Speaks,,,
"Fri, Nov 5",12:30pm,USD,High Impact Expected,Pending Home Sales m/m,-1.8%,3.2%,4.4%
"Fri, Nov 5",1:20pm,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
"Fri, Nov 5",2:00pm,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
"Fri, Nov 5",3:00pm,CAD,Medium Impact Expected,BOC Gov Carney Speaks,,,
"Fri, Nov 5",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,2.1B,-3.1B,-4.9B
"Sat, Nov 6",2:30am,USD,Medium Impact Expected,Treasury Sec Geithner Speaks,,,
"Sun, Nov 7",2:00am,CAD,Non-Economic,Daylight Saving Time Shift,,,
"Sun, Nov 7",2:00am,USD,Non-Economic,Daylight Saving Time Shift,,,
"Sun, Nov 7",7:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,0.6%,1.1%,
"Mon, Nov 8",12:00am,JPY,Medium Impact Expected,BOJ Monthly Report,,,
"Mon, Nov 8",12:00am,JPY,Low Impact Expected,Leading Indicators,98.9%,99.4%,99.5%
"Mon, Nov 8",1:45am,CHF,Low Impact Expected,Unemployment Rate,3.6%,3.6%,3.7%
"Mon, Nov 8",2:00am,EUR,Low Impact Expected,German Trade Balance,15.6B,13.2B,12.0B
"Mon, Nov 8",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,14.0,10.1,8.8
"Mon, Nov 8",6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,-0.8%,0.6%,1.5%
"Mon, Nov 8",8:15am,CAD,High Impact Expected,Housing Starts,168K,181K,185K
"Mon, Nov 8",12:30pm,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
"Mon, Nov 8",2:00pm,USD,Low Impact Expected,Loan Officer Survey,,,
"Mon, Nov 8",3:30pm,USD,Medium Impact Expected,FOMC Member Warsh Speaks,,,
"Mon, Nov 8",6:50pm,JPY,Low Impact Expected,Bank Lending y/y,-1.9%,-1.8%,
"Mon, Nov 8",6:50pm,JPY,Low Impact Expected,Current Account,1.66T,1.23T,1.18T
"Mon, Nov 8",6:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,2.7%,2.8%,2.8%
"Mon, Nov 8",7:00pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,0.8%,0.5%,
"Mon, Nov 8",7:01pm,GBP,Medium Impact Expected,RICS House Price Balance,-49%,-39%,-36%
"Mon, Nov 8",7:30pm,AUD,Medium Impact Expected,NAB Business Confidence,8,10,
"Mon, Nov 8",8:30pm,AUD,Medium Impact Expected,Mid-Year Economic and Fiscal Outlook,,,
"Tue, Nov 9",12:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,40.2,41.7,41.2
"Tue, Nov 9",1:00am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,70.9%,113.6%,
"Tue, Nov 9",1:45am,CHF,Medium Impact Expected,SECO Consumer Climate,7,17,16
"Tue, Nov 9",2:00am,EUR,Low Impact Expected,German Final CPI m/m,0.1%,0.1%,0.1%
"Tue, Nov 9",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-124.2B,-122.1B,
"Tue, Nov 9",2:45am,EUR,Low Impact Expected,French Trade Balance,-4.7B,-4.0B,-5.0B
"Tue, Nov 9",4:30am,GBP,High Impact Expected,Manufacturing Production m/m,0.1%,0.3%,0.4%
"Tue, Nov 9",4:30am,GBP,Medium Impact Expected,Goods Trade Balance,-8.2B,-7.9B,-8.5B
"Tue, Nov 9",4:30am,GBP,Low Impact Expected,Industrial Production m/m,0.4%,0.5%,0.4%
"Tue, Nov 9",7:30am,USD,Low Impact Expected,NFIB Small Business Index,91.7,91.0,89.0
"Tue, Nov 9",8:30am,CAD,Medium Impact Expected,NHPI m/m,0.2%,0.3%,0.1%
"Tue, Nov 9",10:00am,GBP,Medium Impact Expected,NIESR GDP Estimate,0.5%,0.8%,
"Tue, Nov 9",10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,1.5%,0.6%,1.2%
"Tue, Nov 9",10:00am,USD,Low Impact Expected,JOLTS Job Openings,2.93M,3.09M,
"Tue, Nov 9",10:00am,USD,Low Impact Expected,RCM/TIPP Economic Optimism,46.7,47.8,46.4
"Tue, Nov 9",12:30pm,CAD,Medium Impact Expected,BOC Gov Carney Speaks,,,
"Tue, Nov 9",1:00pm,USD,Medium Impact Expected,10-y Bond Auction,2.64|2.8,2.48|3.0,
