Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Sun, Jun 3",Non-Economic,,,,,,
"Sun, Jun 3",11:30pm,JPY,Medium Impact Expected,BOJ Gov Shirakawa Speaks,,,
"Mon, Jun 4",3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-30.1K,-6.6K,
"Mon, Jun 4",All Day,GBP,Non-Economic,Bank Holiday,,,
"Mon, Jun 4",4:30am,EUR,Medium Impact Expected,Sentix Investor Confidence,-28.9,-29.1,-24.5
"Mon, Jun 4",5:00am,EUR,Low Impact Expected,PPI m/m,0.0%,0.3%,0.5%
"Mon, Jun 4",10:00am,USD,Medium Impact Expected,Factory Orders m/m,-0.6%,0.3%,-2.1%
"Mon, Jun 4",7:20pm,AUD,Medium Impact Expected,AIG Services Index,43.5,39.6,
"Mon, Jun 4",9:30pm,AUD,Medium Impact Expected,Current Account,-14.9B,-14.1B,-9.6B
"Mon, Jun 4",10:30pm,CNY,Low Impact Expected,Caixin Services PMI,54.7,54.1,
"Mon, Jun 4",11:45pm,JPY,Low Impact Expected,10-y Bond Auction,0.86|3.0,0.86|3.7,
"Tue, Jun 5",12:30am,AUD,High Impact Expected,Cash Rate,3.50%,3.50%,3.75%
"Tue, Jun 5",12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
"Tue, Jun 5",All Day,GBP,Non-Economic,Bank Holiday,,,
"Tue, Jun 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,41.8,42.1,
"Tue, Jun 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,42.8,41.8,42.3
"Tue, Jun 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,45.1,45.2,45.2
"Tue, Jun 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,51.8,52.2,52.2
"Tue, Jun 5",4:00am,EUR,Medium Impact Expected,Final Services PMI,46.7,46.5,46.5
"Tue, Jun 5",5:00am,EUR,Medium Impact Expected,Retail Sales m/m,-1.0%,-0.1%,0.3%
"Tue, Jun 5",6:00am,EUR,Medium Impact Expected,German Factory Orders m/m,-1.9%,-1.0%,3.2%
"Tue, Jun 5",All Day,All,High Impact Expected,G7 Meetings,,,
"Tue, Jun 5",8:30am,CAD,High Impact Expected,Building Permits m/m,-5.2%,-0.3%,4.9%
"Tue, Jun 5",9:00am,CAD,High Impact Expected,BOC Rate Statement,,,
"Tue, Jun 5",9:00am,CAD,High Impact Expected,Overnight Rate,1.00%,1.00%,1.00%
"Tue, Jun 5",10:00am,USD,High Impact Expected,ISM Services PMI,53.7,53.6,53.5
"Tue, Jun 5",10:30am,NZD,Low Impact Expected,GDT Price Index,13.3%,-7.7%,
"Tue, Jun 5",7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,1.5%,1.3%,
"Tue, Jun 5",9:30pm,AUD,High Impact Expected,GDP q/q,1.3%,0.5%,0.6%
"Wed, Jun 6",4:30am,GBP,High Impact Expected,Construction PMI,54.4,54.5,55.8
"Wed, Jun 6",5:00am,EUR,Low Impact Expected,Revised GDP q/q,0.0%,0.0%,0.0%
"Wed, Jun 6",6:00am,EUR,Medium Impact Expected,German Industrial Production m/m,-2.2%,-0.9%,2.2%
"Wed, Jun 6",7:45am,EUR,High Impact Expected,Main Refinancing Rate,1.00%,1.00%,1.00%
"Wed, Jun 6",8:15am,USD,Medium Impact Expected,FOMC Member Lockhart Speaks,,,
"Wed, Jun 6",8:30am,EUR,High Impact Expected,ECB Press Conference,,,
"Wed, Jun 6",8:30am,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,-0.9%,-0.6%,-0.5%
"Wed, Jun 6",8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,1.3%,2.3%,2.0%
"Wed, Jun 6",9:30am,USD,Medium Impact Expected,FOMC Member Lockhart Speaks,,,
"Wed, Jun 6",10:00am,USD,Low Impact Expected,FOMC Member Tarullo Speaks,,,
"Wed, Jun 6",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,-0.1M,-1.1M,2.2M
"Wed, Jun 6",2:00pm,USD,Medium Impact Expected,Beige Book,,,
"Wed, Jun 6",3:30pm,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
"Wed, Jun 6",7:00pm,USD,Medium Impact Expected,FOMC Member Yellen Speaks,,,
"Wed, Jun 6",7:01pm,GBP,Medium Impact Expected,BRC Retail Sales Monitor y/y,1.3%,-3.3%,
"Wed, Jun 6",7:19pm,AUD,Low Impact Expected,AIG Construction Index,34.7,34.9,
"Wed, Jun 6",9:30pm,AUD,High Impact Expected,Employment Change,38.9K,-2.2K,7.0K
"Wed, Jun 6",9:30pm,AUD,High Impact Expected,Unemployment Rate,5.1%,5.1%,5.0%
"Wed, Jun 6",11:45pm,JPY,Low Impact Expected,30-y Bond Auction,1.86|3.2,1.91|4.1,
"Thu, Jun 7",1:00am,JPY,Low Impact Expected,Leading Indicators,95.1%,95.2%,96.4%
"Thu, Jun 7",1:45am,CHF,Low Impact Expected,Unemployment Rate,3.2%,3.2%,3.2%
"Thu, Jun 7",3:00am,CHF,High Impact Expected,Foreign Currency Reserves,304B,238B,
"Thu, Jun 7",3:00am,GBP,Medium Impact Expected,Halifax HPI m/m,0.5%,0.3%,-2.3%
"Thu, Jun 7",3:15am,CHF,High Impact Expected,CPI m/m,0.0%,0.1%,0.1%
"Thu, Jun 7",4:30am,GBP,High Impact Expected,Final Services PMI,53.3,52.6,53.3
"Thu, Jun 7",4:43am,EUR,High Impact Expected,Spanish 10-y Bond Auction,6.04|3.3,5.74|2.4,
"Thu, Jun 7",4:59am,EUR,Medium Impact Expected,French 10-y Bond Auction,2.46|2.0,2.96|2.0,
"Thu, Jun 7",7:00am,GBP,High Impact Expected,Asset Purchase Facility,325B,325B,325B
"Thu, Jun 7",7:00am,GBP,High Impact Expected,Official Bank Rate,0.50%,0.50%,0.50%
"Thu, Jun 7",8:30am,USD,High Impact Expected,Unemployment Claims,377K,381K,389K
"Thu, Jun 7",10:00am,CAD,High Impact Expected,Ivey PMI,60.5,53.5,52.7
"Thu, Jun 7",10:00am,USD,High Impact Expected,Fed Chairman Bernanke Testifies,,,
"Thu, Jun 7",10:30am,USD,Low Impact Expected,Natural Gas Storage,62B,57B,71B
"Thu, Jun 7",12:10pm,USD,Medium Impact Expected,FOMC Member Lockhart Speaks,,,
"Thu, Jun 7",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,6.5B,10.9B,12.4B
"Thu, Jun 7",7:50pm,JPY,High Impact Expected,Current Account,0.29T,0.62T,0.79T
"Thu, Jun 7",7:50pm,JPY,Medium Impact Expected,Final GDP q/q,1.2%,1.1%,1.0%
"Thu, Jun 7",7:50pm,JPY,Low Impact Expected,Bank Lending y/y,0.3%,0.3%,
"Thu, Jun 7",8:01pm,JPY,Low Impact Expected,Final GDP Price Index y/y,-1.3%,-1.2%,-1.2%
"Thu, Jun 7",9:30pm,AUD,High Impact Expected,Goods Trade Balance,-0.20B,-0.92B,-1.28B
"Thu, Jun 7",9:30pm,AUD,Medium Impact Expected,Home Loans m/m,0.2%,0.1%,0.8%
"Thu, Jun 7",11:30pm,AUD,High Impact Expected,RBA Gov Stevens Speaks,,,
"Fri, Jun 8",1:00am,JPY,Low Impact Expected,Economy Watchers Sentiment,47.2,51.2,50.9
"Fri, Jun 8",2:00am,EUR,Low Impact Expected,German Trade Balance,16.1B,13.3B,14.0B
"Fri, Jun 8",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-59.9B,-29.4B,
"Fri, Jun 8",2:45am,EUR,Low Impact Expected,French Trade Balance,-5.8B,-5.7B,-5.6B
"Fri, Jun 8",4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,-1.9%,-0.4%,0.6%
"Fri, Jun 8",4:30am,GBP,High Impact Expected,PPI Input m/m,-2.5%,-1.2%,-1.4%
"Fri, Jun 8",4:30am,GBP,Medium Impact Expected,Consumer Inflation Expectations,3.7%,3.5%,
"Fri, Jun 8",4:30am,GBP,Low Impact Expected,PPI Output m/m,-0.2%,0.2%,0.6%
"Fri, Jun 8",8:13am,CAD,Medium Impact Expected,Housing Starts,211K,226K,244K
"Fri, Jun 8",8:30am,CAD,High Impact Expected,Employment Change,7.7K,10.0K,58.2K
"Fri, Jun 8",8:30am,CAD,High Impact Expected,Trade Balance,-0.4B,0.2B,0.2B
"Fri, Jun 8",8:30am,CAD,High Impact Expected,Unemployment Rate,7.3%,7.3%,7.3%
"Fri, Jun 8",8:30am,CAD,Medium Impact Expected,Labor Productivity q/q,0.1%,0.3%,0.7%
"Fri, Jun 8",8:30am,USD,High Impact Expected,Trade Balance,-50.1B,-49.4B,-52.6B
"Fri, Jun 8",10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.6%,0.5%,0.3%
"Fri, Jun 8",10:15am,USD,Low Impact Expected,President Obama Speaks,,,
"Fri, Jun 8",9:30pm,CNY,High Impact Expected,CPI y/y,3.0%,3.2%,3.4%
"Fri, Jun 8",9:30pm,CNY,Medium Impact Expected,PPI y/y,-1.4%,-1.1%,-0.7%
"Sat, Jun 9",1:02am,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,20.1%,20.0%,20.2%
"Sat, Jun 9",1:02am,CNY,Medium Impact Expected,Industrial Production y/y,9.6%,9.8%,9.3%
"Sat, Jun 9",1:02am,CNY,Low Impact Expected,Retail Sales y/y,13.8%,14.4%,14.1%
"Sat, Jun 9",11:02pm,CNY,High Impact Expected,USD-Denominated Trade Balance,18.7B,16.3B,18.4B
"Sun, Jun 10",All Day,AUD,Non-Economic,Bank Holiday,,,
"Sun, Jun 10",6:45pm,NZD,Low Impact Expected,Manufacturing Sales q/q,-1.8%,0.9%,
"Sun, Jun 10",7:50pm,JPY,Medium Impact Expected,BSI Manufacturing Index,-5.7,-2.4,-7.3
"Sun, Jun 10",7:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,2.1%,2.5%,2.6%
"Mon, Jun 11",1:00am,JPY,Low Impact Expected,Consumer Confidence,40.7,39.9,40.0
"Mon, Jun 11",2:00am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,-2.9%,0.4%,
"Mon, Jun 11",2:45am,EUR,Medium Impact Expected,French Industrial Production m/m,1.5%,0.1%,-1.0%
"Mon, Jun 11",3:58am,CNY,Medium Impact Expected,New Loans,793B,700B,682B
"Mon, Jun 11",3:58am,CNY,Low Impact Expected,M2 Money Supply y/y,13.2%,12.9%,12.8%
"Mon, Jun 11",12:00pm,USD,Medium Impact Expected,FOMC Member Lockhart Speaks,,,
"Mon, Jun 11",6:00pm,NZD,Medium Impact Expected,REINZ HPI m/m,1.7%,-0.3%,
"Mon, Jun 11",6:00pm,USD,Medium Impact Expected,FOMC Member Pianalto Speaks,,,
"Mon, Jun 11",7:01pm,GBP,Medium Impact Expected,RICS House Price Balance,-16%,-17%,-19%
"Mon, Jun 11",7:50pm,JPY,Medium Impact Expected,Tertiary Industry Activity m/m,-0.3%,0.4%,-0.6%
