Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Fri, Feb 2",Medium Impact Expected,,,,,,
"Fri, Feb 2",,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.2%,0.3%,0.4%
"Fri, Feb 2",8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.3%,0.2%,0.4%
"Fri, Feb 2",8:30am,USD,High Impact Expected,Non-Farm Employment Change,200K,181K,160K
"Fri, Feb 2",8:30am,USD,High Impact Expected,Unemployment Rate,4.1%,4.1%,4.1%
"Fri, Feb 2",10:00am,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,95.7,95.0,94.4
"Fri, Feb 2",10:00am,USD,Low Impact Expected,Factory Orders m/m,1.7%,1.5%,1.7%
"Fri, Feb 2",10:00am,USD,Low Impact Expected,Revised UoM Inflation Expectations,2.7%,2.8%,
"Fri, Feb 2",2:30pm,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
"Sun, Feb 4",5:30pm,AUD,Low Impact Expected,AIG Services Index,54.9,52.0,
"Sun, Feb 4",7:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.3%,0.1%,
"Sun, Feb 4",7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,0.7%,-1.9%,
"Sun, Feb 4",7:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,6.2%,-2.7%,
"Sun, Feb 4",8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,54.7,53.6,53.9
"Mon, Feb 5",3:15am,EUR,Low Impact Expected,Spanish Services PMI,56.9,55.2,54.6
"Mon, Feb 5",3:45am,EUR,Low Impact Expected,Italian Services PMI,57.7,56.1,55.4
"Mon, Feb 5",3:50am,EUR,Low Impact Expected,French Final Services PMI,59.2,59.3,59.3
"Mon, Feb 5",3:55am,EUR,Low Impact Expected,German Final Services PMI,57.3,57.0,57.0
"Mon, Feb 5",4:00am,EUR,Low Impact Expected,Final Services PMI,58.0,57.6,57.6
"Mon, Feb 5",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,31.9,33.2,32.9
"Mon, Feb 5",4:30am,GBP,High Impact Expected,Final Services PMI,53.0,54.1,54.2
"Mon, Feb 5",5:00am,EUR,Low Impact Expected,Retail Sales m/m,-1.1%,-1.1%,2.0%
"Mon, Feb 5",9:45am,USD,Low Impact Expected,Final Services PMI,53.3,53.3,53.3
"Mon, Feb 5",10:00am,USD,High Impact Expected,ISM Services PMI,59.9,56.5,55.9
"Mon, Feb 5",11:00am,EUR,High Impact Expected,ECB President Draghi Speaks,,,
"Mon, Feb 5",2:00pm,USD,Low Impact Expected,Loan Officer Survey,,,
"Mon, Feb 5",All Day,NZD,Non-Economic,Bank Holiday,,,
"Mon, Feb 5",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,0.6%,0.6%,
"Mon, Feb 5",7:30pm,AUD,High Impact Expected,Goods Trade Balance,-1.36B,0.25B,0.04B
"Mon, Feb 5",7:30pm,AUD,High Impact Expected,Retail Sales m/m,-0.5%,-0.2%,1.3%
"Mon, Feb 5",10:30pm,AUD,High Impact Expected,RBA Rate Statement,,,
"Mon, Feb 5",10:30pm,AUD,Medium Impact Expected,Cash Rate,1.50%,1.50%,1.50%
"Tue, Feb 6",2:00am,EUR,Low Impact Expected,German Factory Orders m/m,3.8%,0.6%,-0.1%
"Tue, Feb 6",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-67.8B,-84.7B,
"Tue, Feb 6",4:00am,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
"Tue, Feb 6",4:10am,EUR,Low Impact Expected,Retail PMI,50.8,53.0,
"Tue, Feb 6",8:30am,CAD,High Impact Expected,Trade Balance,-3.2B,-2.3B,-2.7B
"Tue, Feb 6",8:30am,USD,Low Impact Expected,Trade Balance,-53.1B,-52.1B,-50.4B
"Tue, Feb 6",9:36am,NZD,Medium Impact Expected,GDT Price Index,5.9%,4.9%,
"Tue, Feb 6",10:00am,CAD,Medium Impact Expected,Ivey PMI,55.2,60.7,60.4
"Tue, Feb 6",10:00am,USD,Low Impact Expected,JOLTS Job Openings,5.81M,5.95M,5.98M
"Tue, Feb 6",10:01am,USD,Low Impact Expected,RCM/TIPP Economic Optimism,56.7,55.4,55.1
"Tue, Feb 6",4:45pm,NZD,High Impact Expected,Employment Change q/q,0.5%,0.4%,2.2%
"Tue, Feb 6",4:45pm,NZD,High Impact Expected,Unemployment Rate,4.5%,4.7%,4.6%
"Tue, Feb 6",4:45pm,NZD,Low Impact Expected,Labor Cost Index q/q,0.4%,0.5%,0.7%
"Tue, Feb 6",5:30pm,AUD,Low Impact Expected,AIG Construction Index,54.3,52.8,
"Tue, Feb 6",7:00pm,JPY,Low Impact Expected,Average Cash Earnings y/y,0.7%,0.6%,0.9%
"Wed, Feb 7",12:00am,JPY,Low Impact Expected,Leading Indicators,107.9%,108.1%,108.3%
"Wed, Feb 7",2:00am,EUR,Low Impact Expected,German Industrial Production m/m,-0.6%,-0.7%,3.1%
