Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, May 2",Low Impact Expected,,,,,,
"Wed, May 2",5:00am,EUR,Medium Impact Expected,Prelim Flash GDP q/q,0.4%,0.4%,0.6%
"Wed, May 2",5:00am,EUR,Low Impact Expected,Italian Prelim GDP q/q,0.3%,0.3%,0.3%
"Wed, May 2",5:00am,EUR,Low Impact Expected,Unemployment Rate,8.5%,8.5%,8.5%
"Wed, May 2",8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,204K,200K,228K
"Wed, May 2",10:30am,USD,High Impact Expected,Crude Oil Inventories,6.2M,1.0M,2.2M
"Wed, May 2",11:30am,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
"Wed, May 2",2:00pm,USD,High Impact Expected,Federal Funds Rate,1.75%,1.75%,1.75%
"Wed, May 2",2:00pm,USD,High Impact Expected,FOMC Statement,,,
"Wed, May 2",6:30pm,AUD,Low Impact Expected,AIG Services Index,55.2,56.9,
"Wed, May 2",All Day,JPY,Non-Economic,Bank Holiday,,,
"Wed, May 2",9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,1.0%,1.2%,
"Wed, May 2",9:30pm,AUD,High Impact Expected,Goods Trade Balance,1.53B,0.68B,1.35B
"Wed, May 2",9:30pm,AUD,Medium Impact Expected,Building Approvals m/m,2.6%,1.1%,-4.2%
"Thu, May 3",4:30am,GBP,High Impact Expected,Final Services PMI,52.8,53.5,51.7
"Thu, May 3",4:47am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.29|2.0,1.24|1.3,
"Thu, May 3",5:00am,EUR,Medium Impact Expected,Core CPI Flash Estimate y/y,0.7%,0.9%,1.0%
"Thu, May 3",5:00am,EUR,Medium Impact Expected,CPI Flash Estimate y/y,1.2%,1.3%,1.3%
"Thu, May 3",5:00am,EUR,Medium Impact Expected,EU Economic Forecasts,,,
"Thu, May 3",5:00am,EUR,Low Impact Expected,PPI m/m,0.1%,0.1%,0.0%
"Thu, May 3",5:03am,EUR,Low Impact Expected,French 10-y Bond Auction,0.81|1.9,0.74|1.9,
"Thu, May 3",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-1.4%,39.4%,
"Thu, May 3",8:30am,CAD,High Impact Expected,Trade Balance,-4.1B,-2.3B,-2.9B
"Thu, May 3",8:30am,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,0.7%,0.9%,0.0%
"Thu, May 3",8:30am,USD,Medium Impact Expected,Prelim Unit Labor Costs q/q,2.7%,3.1%,2.5%
"Thu, May 3",8:30am,USD,Medium Impact Expected,Unemployment Claims,211K,225K,209K
"Thu, May 3",8:30am,USD,Low Impact Expected,Trade Balance,-49.0B,-50.0B,-57.7B
"Thu, May 3",9:45am,USD,Low Impact Expected,Final Services PMI,54.6,54.4,54.4
"Thu, May 3",10:00am,USD,High Impact Expected,ISM Services PMI,56.8,58.1,58.8
"Thu, May 3",10:00am,USD,Low Impact Expected,Factory Orders m/m,1.6%,1.3%,1.6%
"Thu, May 3",10:30am,USD,Low Impact Expected,Natural Gas Storage,62B,47B,-18B
"Thu, May 3",12:00pm,CHF,High Impact Expected,SNB Chairman Jordan Speaks,,,
"Thu, May 3",All Day,JPY,Non-Economic,Bank Holiday,,,
"Thu, May 3",9:30pm,AUD,High Impact Expected,RBA Monetary Policy Statement,,,
