Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Thu, Apr 2",Low Impact Expected,,,,,,
"Thu, Apr 2",5:23pm,USD,High Impact Expected,President Trump Speaks,,,
"Thu, Apr 2",5:30pm,AUD,Low Impact Expected,AIG Construction Index,37.9,42.7,
"Thu, Apr 2",9:45pm,CNY,Medium Impact Expected,Caixin Services PMI,43.0,39.6,26.5
"Fri, Apr 3",2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-35.2B,-20.0B,
"Fri, Apr 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,23.0,25.6,52.1
"Fri, Apr 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,17.4,22.4,52.1
"Fri, Apr 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,27.4,29.0,29.0
"Fri, Apr 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,31.7,34.3,34.5
"Fri, Apr 3",4:00am,EUR,Low Impact Expected,Final Services PMI,26.4,28.2,28.4
"Fri, Apr 3",4:30am,GBP,Medium Impact Expected,Final Services PMI,34.5,34.7,35.7
"Fri, Apr 3",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.9%,0.1%,0.7%
"Fri, Apr 3",8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.4%,0.2%,0.3%
"Fri, Apr 3",8:30am,USD,High Impact Expected,Non-Farm Employment Change,-701K,-100K,275K
"Fri, Apr 3",8:30am,USD,High Impact Expected,Unemployment Rate,4.4%,3.8%,3.5%
"Fri, Apr 3",9:45am,USD,Low Impact Expected,Final Services PMI,39.8,38.7,39.1
"Fri, Apr 3",10:00am,USD,Medium Impact Expected,ISM Services PMI,52.5,43.5,57.3
"Sat, Apr 4",10:00am,NZD,Non-Economic,Daylight Saving Time Shift,,,
"Sat, Apr 4",12:00pm,AUD,Non-Economic,Daylight Saving Time Shift,,,
"Sat, Apr 4",3:30pm,USD,High Impact Expected,President Trump Speaks,,,
"Sun, Apr 5",6:45pm,USD,High Impact Expected,President Trump Speaks,,,
"Sun, Apr 5",7:01pm,GBP,Low Impact Expected,GfK Consumer Confidence,-34,-9,
"Sun, Apr 5",All Day,CNY,Non-Economic,Bank Holiday,,,
"Sun, Apr 5",9:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.2%,-0.1%,
"Sun, Apr 5",9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-2.1%,-2.1%,
"Mon, Apr 6",1:00am,JPY,Low Impact Expected,Consumer Confidence,30.9,34.2,38.4
"Mon, Apr 6",2:00am,EUR,Low Impact Expected,German Factory Orders m/m,-1.4%,-2.7%,4.8%
"Mon, Apr 6",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-42.9,-30.5,-17.1
"Mon, Apr 6",4:30am,GBP,Low Impact Expected,Construction PMI,39.3,44.0,52.6
"Mon, Apr 6",4:34am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,-5.1B,-6.2B,-6.0B
"Mon, Apr 6",10:30am,CAD,High Impact Expected,BOC Business Outlook Survey,,,
"Mon, Apr 6",5:42pm,USD,High Impact Expected,President Trump Speaks,,,
"Mon, Apr 6",6:02pm,NZD,Medium Impact Expected,NZIER Business Confidence,-70,-21,
"Mon, Apr 6",6:30pm,AUD,Low Impact Expected,AIG Services Index,38.7,47.0,
"Mon, Apr 6",7:30pm,JPY,Low Impact Expected,Average Cash Earnings y/y,1.0%,0.2%,1.2%
"Mon, Apr 6",7:30pm,JPY,Low Impact Expected,Household Spending y/y,-0.3%,-3.3%,-3.9%
"Mon, Apr 6",9:30pm,AUD,Medium Impact Expected,Goods Trade Balance,4.36B,3.75B,4.75B
"Mon, Apr 6",9:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,-10.3%,1.2%,
