Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Tue, Aug 2",High Impact Expected,,,,,,
"Tue, Aug 2",All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,13.4M,13.4M,13.0M
"Tue, Aug 2",6:30pm,AUD,Low Impact Expected,AIG Construction Index,45.3,46.2,
"Tue, Aug 2",6:45pm,NZD,High Impact Expected,Employment Change q/q,0.0%,0.4%,0.0%
"Tue, Aug 2",6:45pm,NZD,Medium Impact Expected,Unemployment Rate,3.3%,3.1%,3.2%
"Tue, Aug 2",6:45pm,NZD,Low Impact Expected,Labor Cost Index q/q,1.3%,1.1%,0.7%
"Tue, Aug 2",6:45pm,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
"Tue, Aug 2",9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-2.2%,-0.4%,
"Tue, Aug 2",9:45pm,CNY,Low Impact Expected,Caixin Services PMI,55.5,54.0,54.5
"Wed, Aug 3",2:00am,EUR,Low Impact Expected,German Trade Balance,6.4B,0.1B,0.8B
"Wed, Aug 3",2:30am,CHF,High Impact Expected,CPI m/m,0.0%,-0.1%,0.5%
"Wed, Aug 3",3:15am,EUR,Medium Impact Expected,Spanish Services PMI,53.8,52.0,54.0
"Wed, Aug 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,48.4,50.1,51.6
"Wed, Aug 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,53.2,52.1,52.1
"Wed, Aug 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,49.7,49.2,49.2
"Wed, Aug 3",4:00am,EUR,Low Impact Expected,Final Services PMI,51.2,50.6,50.6
"Wed, Aug 3",4:00am,EUR,Low Impact Expected,Italian Retail Sales m/m,-1.1%,1.0%,2.0%
"Wed, Aug 3",4:30am,GBP,Low Impact Expected,Final Services PMI,52.6,53.3,53.3
"Wed, Aug 3",5:00am,EUR,Low Impact Expected,PPI m/m,1.1%,1.0%,0.5%
"Wed, Aug 3",5:00am,EUR,Low Impact Expected,Retail Sales m/m,-1.2%,0.0%,0.4%
"Wed, Aug 3",All Day,All,Medium Impact Expected,OPEC-JMMC Meetings,,,
"Wed, Aug 3",7:31am,EUR,Low Impact Expected,French Gov Budget Balance,-76.1B,-82.3B,
"Wed, Aug 3",9:45am,USD,Low Impact Expected,Final Services PMI,47.3,47.0,47.0
"Wed, Aug 3",10:00am,USD,High Impact Expected,ISM Services PMI,56.7,53.5,55.3
"Wed, Aug 3",10:00am,USD,Low Impact Expected,Factory Orders m/m,2.0%,1.3%,1.8%
"Wed, Aug 3",10:30am,USD,Low Impact Expected,Crude Oil Inventories,4.5M,-1.4M,-4.5M
"Wed, Aug 3",9:30pm,AUD,Low Impact Expected,Goods Trade Balance,17.67B,14.00B,15.02B
"Thu, Aug 4",2:00am,EUR,Low Impact Expected,German Factory Orders m/m,-0.4%,-1.0%,-0.2%
"Thu, Aug 4",4:00am,EUR,Low Impact Expected,ECB Economic Bulletin,,,
"Thu, Aug 4",4:30am,GBP,Medium Impact Expected,Construction PMI,48.9,52.0,52.6
"Thu, Aug 4",4:43am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.98|1.7,2.54|1.6,
"Thu, Aug 4",4:54am,EUR,Low Impact Expected,French 10-y Bond Auction,1.43|2.5,1.92|1.9,
"Thu, Aug 4",7:00am,GBP,High Impact Expected,BOE Monetary Policy Report,,,
"Thu, Aug 4",7:00am,GBP,High Impact Expected,Monetary Policy Summary,,,
"Thu, Aug 4",7:00am,GBP,High Impact Expected,MPC Official Bank Rate Votes,9-0-0,9-0-0,9-0-0
"Thu, Aug 4",7:00am,GBP,High Impact Expected,Official Bank Rate,1.75%,1.75%,1.25%
"Thu, Aug 4",7:30am,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,
"Thu, Aug 4",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,36.3%,58.8%,
"Thu, Aug 4",8:30am,CAD,Low Impact Expected,Building Permits m/m,-1.5%,-2.0%,1.6%
"Thu, Aug 4",8:30am,CAD,Low Impact Expected,Trade Balance,5.0B,5.0B,4.8B
"Thu, Aug 4",8:30am,USD,Medium Impact Expected,Unemployment Claims,260K,262K,254K
"Thu, Aug 4",8:30am,USD,Low Impact Expected,Trade Balance,-79.6B,-80.5B,-84.9B
"Thu, Aug 4",10:30am,USD,Low Impact Expected,Natural Gas Storage,41B,25B,15B
"Thu, Aug 4",12:00pm,USD,Medium Impact Expected,FOMC Member Mester Speaks,,,
"Thu, Aug 4",6:30pm,AUD,Low Impact Expected,AIG Services Index,51.7,48.8,
"Thu, Aug 4",7:30pm,JPY,Low Impact Expected,Average Cash Earnings y/y,2.2%,1.9%,1.0%
"Thu, Aug 4",7:30pm,JPY,Low Impact Expected,Household Spending y/y,3.5%,1.6%,-0.5%
"Thu, Aug 4",9:30pm,AUD,High Impact Expected,RBA Monetary Policy Statement,,,
"Fri, Aug 5",1:00am,JPY,Low Impact Expected,Leading Indicators,100.6%,101.0%,101.2%
"Fri, Aug 5",2:00am,EUR,Low Impact Expected,German Industrial Production m/m,0.4%,-0.4%,-0.1%
"Fri, Aug 5",2:00am,GBP,Low Impact Expected,Halifax HPI m/m,-0.1%,1.2%,1.4%
"Fri, Aug 5",2:45am,EUR,Low Impact Expected,French Industrial Production m/m,1.4%,-0.2%,0.2%
"Fri, Aug 5",2:45am,EUR,Low Impact Expected,French Prelim Private Payrolls q/q,0.5%,0.2%,0.3%
"Fri, Aug 5",2:45am,EUR,Low Impact Expected,French Trade Balance,-13.1B,-12.3B,-12.9B
"Fri, Aug 5",3:00am,CHF,Low Impact Expected,Foreign Currency Reserves,849B,849B,
"Fri, Aug 5",4:00am,EUR,Low Impact Expected,Italian Industrial Production m/m,-2.1%,-0.1%,-1.1%
"Fri, Aug 5",7:15am,GBP,Medium Impact Expected,MPC Member Pill Speaks,,,
"Fri, Aug 5",8:30am,CAD,High Impact Expected,Employment Change,-30.6K,14.2K,-43.2K
"Fri, Aug 5",8:30am,CAD,High Impact Expected,Unemployment Rate,4.9%,5.0%,4.9%
"Fri, Aug 5",8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.5%,0.3%,0.4%
"Fri, Aug 5",8:30am,USD,High Impact Expected,Non-Farm Employment Change,528K,250K,398K
"Fri, Aug 5",8:30am,USD,High Impact Expected,Unemployment Rate,3.5%,3.6%,3.6%
"Fri, Aug 5",10:00am,CAD,Medium Impact Expected,Ivey PMI,49.6,60.3,62.2
"Fri, Aug 5",3:00pm,USD,Low Impact Expected,Consumer Credit m/m,40.2B,25.0B,23.8B
"Sat, Aug 6",11:01pm,CNY,Low Impact Expected,Trade Balance,683B,600B,650B
"Sat, Aug 6",11:02pm,CNY,Low Impact Expected,USD-Denominated Trade Balance,101.3B,89.0B,97.9B
"Sun, Aug 7",7:50pm,JPY,Low Impact Expected,Bank Lending y/y,1.8%,1.5%,1.2%
"Sun, Aug 7",7:50pm,JPY,Low Impact Expected,Current Account,0.84T,-0.03T,0.01T
"Sun, Aug 7",11:00pm,NZD,Medium Impact Expected,Inflation Expectations q/q,3.07%,3.29%,
"Mon, Aug 8",12:59am,JPY,Low Impact Expected,Economy Watchers Sentiment,43.8,51.6,52.9
"Mon, Aug 8",1:45am,CHF,Low Impact Expected,Unemployment Rate,2.2%,2.2%,2.2%
"Mon, Aug 8",4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,-25.2,-29.1,-26.4
"Mon, Aug 8",7:01pm,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,1.6%,-1.5%,-1.3%
"Mon, Aug 8",7:50pm,JPY,Low Impact Expected,M2 Money Stock y/y,3.4%,3.3%,3.3%
"Mon, Aug 8",8:26pm,AUD,Low Impact Expected,Westpac Consumer Sentiment,-3.0%,-3.0%,
"Mon, Aug 8",9:30pm,AUD,Low Impact Expected,NAB Business Confidence,7,2,
"Mon, Aug 8",11:35pm,JPY,Low Impact Expected,30-y Bond Auction,1.12|3.0,1.23|3.2,
"Tue, Aug 9",1:58am,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,5.5%,17.1%,
"Tue, Aug 9",5:02am,GBP,Low Impact Expected,30-y Bond Auction,2.36|2.5,2.53|2.2,
"Tue, Aug 9",5:58am,USD,Low Impact Expected,NFIB Small Business Index,89.9,89.5,89.5
"Tue, Aug 9",8:30am,USD,Low Impact Expected,Prelim Nonfarm Productivity q/q,-4.6%,-4.6%,-7.3%
"Tue, Aug 9",8:30am,USD,Low Impact Expected,Prelim Unit Labor Costs q/q,10.8%,9.4%,12.6%
"Tue, Aug 9",10:00am,USD,Low Impact Expected,RCM/TIPP Economic Optimism,38.1,40.2,38.5
"Tue, Aug 9",7:50pm,JPY,Low Impact Expected,PPI y/y,8.6%,8.5%,9.4%
"Tue, Aug 9",9:30pm,CNY,Low Impact Expected,CPI y/y,2.7%,2.9%,2.5%
"Tue, Aug 9",9:30pm,CNY,Low Impact Expected,PPI y/y,4.2%,4.9%,6.1%
"Wed, Aug 10",2:00am,EUR,Low Impact Expected,German Final CPI m/m,0.9%,0.9%,0.9%
"Wed, Aug 10",5:35am,EUR,Low Impact Expected,German 30-y Bond Auction,1.10|1.6,1.41|2.1,
"Wed, Aug 10",8:30am,USD,High Impact Expected,Core CPI m/m,0.3%,0.5%,0.7%
"Wed, Aug 10",8:30am,USD,High Impact Expected,CPI m/m,0.0%,0.2%,1.3%
"Wed, Aug 10",8:30am,USD,High Impact Expected,CPI y/y,8.5%,8.7%,9.1%
"Wed, Aug 10",10:00am,USD,Low Impact Expected,Final Wholesale Inventories m/m,1.8%,1.9%,1.9%
"Wed, Aug 10",10:30am,USD,Low Impact Expected,Crude Oil Inventories,5.5M,0.1M,4.5M
"Wed, Aug 10",12:00pm,GBP,Low Impact Expected,MPC Member Pill Speaks,,,
"Wed, Aug 10",1:01pm,USD,Low Impact Expected,10-y Bond Auction,2.76|2.5,2.96|2.3,
"Wed, Aug 10",2:00pm,USD,Low Impact Expected,Federal Budget Balance,-211.1B,-172.5B,-88.8B
"Wed, Aug 10",6:45pm,NZD,Low Impact Expected,Visitor Arrivals m/m,30.1%,34.0%,
"Wed, Aug 10",7:01pm,GBP,Low Impact Expected,RICS House Price Balance,63%,60%,65%
"Wed, Aug 10",All Day,JPY,Non-Economic,Bank Holiday,,,
"Wed, Aug 10",9:04pm,AUD,Low Impact Expected,MI Inflation Expectations,5.9%,6.3%,
"Thu, Aug 11",8:30am,USD,High Impact Expected,PPI m/m,-0.5%,0.2%,1.1%
