Date,Time,Currency,Impact,Event,Actual,Forecast,Previous
"Wed, Mar 2",Low Impact Expected,,,,,,
"Wed, Mar 2",5:35am,EUR,Low Impact Expected,German 10-y Bond Auction,-0.20|1.2,0.31|2.0,
"Wed, Mar 2",8:17am,USD,High Impact Expected,ADP Non-Farm Employment Change,475K,378K,509K
"Wed, Mar 2",9:30am,USD,Medium Impact Expected,FOMC Member Bullard Speaks,,,
"Wed, Mar 2",10:00am,CAD,High Impact Expected,BOC Rate Statement,,,
"Wed, Mar 2",10:00am,CAD,High Impact Expected,Overnight Rate,0.50%,0.50%,0.25%
"Wed, Mar 2",10:00am,USD,High Impact Expected,Fed Chair Powell Testifies,,,
"Wed, Mar 2",10:30am,USD,Medium Impact Expected,Crude Oil Inventories,-2.6M,2.5M,4.5M
"Wed, Mar 2",1:30pm,GBP,Low Impact Expected,MPC Member Tenreyro Speaks,,,
"Wed, Mar 2",2:00pm,USD,Low Impact Expected,Beige Book,,,
"Wed, Mar 2",3:00pm,GBP,Low Impact Expected,MPC Member Cunliffe Speaks,,,
"Wed, Mar 2",4:30pm,AUD,Low Impact Expected,AIG Construction Index,53.4,45.9,
"Wed, Mar 2",7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,3.9%,1.0%,
"Wed, Mar 2",7:30pm,AUD,Low Impact Expected,Building Approvals m/m,-27.9%,-2.9%,9.8%
"Wed, Mar 2",7:30pm,AUD,Low Impact Expected,Goods Trade Balance,12.89B,9.00B,8.82B
"Wed, Mar 2",8:45pm,CNY,Low Impact Expected,Caixin Services PMI,50.2,50.9,51.4
"Wed, Mar 2",10:35pm,JPY,Low Impact Expected,30-y Bond Auction,0.89|3.1,0.79|3.4,
"Thu, Mar 3",12:00am,JPY,Low Impact Expected,Consumer Confidence,35.3,35.0,36.7
"Thu, Mar 3",2:30am,CHF,Low Impact Expected,CPI m/m,0.7%,0.3%,0.2%
"Thu, Mar 3",3:15am,EUR,Low Impact Expected,Spanish Services PMI,56.6,51.5,46.6
"Thu, Mar 3",3:45am,EUR,Low Impact Expected,Italian Services PMI,52.8,52.6,48.5
"Thu, Mar 3",3:50am,EUR,Low Impact Expected,French Final Services PMI,55.5,57.9,57.9
"Thu, Mar 3",3:55am,EUR,Low Impact Expected,German Final Services PMI,55.8,56.6,56.6
"Thu, Mar 3",4:00am,EUR,Low Impact Expected,Final Services PMI,55.5,55.8,55.8
"Thu, Mar 3",4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,8.8%,9.0%,9.0%
"Thu, Mar 3",4:30am,GBP,Low Impact Expected,Final Services PMI,60.5,60.8,60.8
"Thu, Mar 3",5:00am,EUR,Low Impact Expected,PPI m/m,5.2%,2.5%,3.0%
"Thu, Mar 3",5:00am,EUR,Low Impact Expected,Unemployment Rate,6.8%,6.9%,7.0%
"Thu, Mar 3",5:04am,EUR,Low Impact Expected,French 10-y Bond Auction,0.52|1.7,0.45|2.6,
"Thu, Mar 3",7:30am,EUR,Low Impact Expected,ECB Monetary Policy Meeting Accounts,,,
"Thu, Mar 3",7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-55.9%,-76.0%,
"Thu, Mar 3",8:30am,USD,Medium Impact Expected,Unemployment Claims,215K,223K,233K
"Thu, Mar 3",8:30am,USD,Low Impact Expected,Revised Nonfarm Productivity q/q,6.6%,6.6%,6.6%
"Thu, Mar 3",8:30am,USD,Low Impact Expected,Revised Unit Labor Costs q/q,0.9%,0.3%,0.3%
"Thu, Mar 3",9:45am,USD,Low Impact Expected,Final Services PMI,56.5,56.7,56.7
"Thu, Mar 3",10:00am,USD,High Impact Expected,Fed Chair Powell Testifies,,,
"Thu, Mar 3",10:00am,USD,High Impact Expected,ISM Services PMI,56.5,61.2,59.9
"Thu, Mar 3",10:00am,USD,Low Impact Expected,Factory Orders m/m,1.4%,0.8%,0.7%
"Thu, Mar 3",10:30am,USD,Low Impact Expected,Natural Gas Storage,-139B,-138B,-129B
"Thu, Mar 3",11:30am,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,
"Thu, Mar 3",3:30pm,CAD,High Impact Expected,BOC Gov Macklem Speaks,,,
"Thu, Mar 3",6:00pm,USD,Low Impact Expected,FOMC Member Williams Speaks,,,
"Thu, Mar 3",6:30pm,JPY,Low Impact Expected,Unemployment Rate,2.8%,2.7%,2.7%
"Fri, Mar 4",2:00am,EUR,Low Impact Expected,German Trade Balance,9.4B,7.5B,8.1B
"Fri, Mar 4",2:45am,EUR,Low Impact Expected,French Industrial Production m/m,1.6%,0.5%,-0.1%
"Fri, Mar 4",4:30am,GBP,Low Impact Expected,Construction PMI,59.1,57.4,56.3
"Fri, Mar 4",5:00am,EUR,Low Impact Expected,Retail Sales m/m,0.2%,1.5%,-2.7%
"Fri, Mar 4",8:30am,CAD,Low Impact Expected,Building Permits m/m,-8.8%,1.3%,-2.4%
"Fri, Mar 4",8:30am,CAD,Low Impact Expected,Labor Productivity q/q,-0.5%,-0.2%,-1.5%
"Fri, Mar 4",8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.0%,0.5%,0.6%
"Fri, Mar 4",8:30am,USD,High Impact Expected,Non-Farm Employment Change,678K,407K,481K
"Fri, Mar 4",8:30am,USD,High Impact Expected,Unemployment Rate,3.8%,3.9%,4.0%
"Fri, Mar 4",10:00am,CAD,Medium Impact Expected,Ivey PMI,60.6,54.2,50.7
"Sun, Mar 6",4:30pm,AUD,Low Impact Expected,AIG Services Index,60.0,56.2,
